['SN2024adtg', 'host', np.float64(200.52816749999997), np.float64(-11.1408015), '']
['SN2024adtg', 'host', np.float64(200.52816749999997), np.float64(-11.1408015), '']
['SN2024aecx', 'host', np.float64(336.84651899999943), np.float64(-0.034849698), '']
['SN2024aecx', 'host', np.float64(336.84651899999943), np.float64(-0.034849698), '']
['SN2024aecx', 'host', np.float64(336.84651899999943), np.float64(-0.034849698), '']
['SN2024aecx', 'host', np.float64(336.84651899999943), np.float64(-0.034849698), '']
['SN2024aecx', 'host', np.float64(336.84651899999943), np.float64(-0.034849698), '']
['SN2024aecx', 'host', np.float64(336.84651899999943), np.float64(-0.034849698), '']
['SN2024aedt', 'host', np.float64(58.38735659999993), np.float64(8.251345632), '']
['SN2024aeee', 'host', np.float64(55.68311999999984), np.float64(73.578869), '']
['SN2024aeee', 'host', np.float64(55.68311999999984), np.float64(73.578869), '']
['SN2024aeee', 'host', np.float64(55.68311999999984), np.float64(73.578869), '']
['SN2024aeee', 'host', np.float64(55.68311999999984), np.float64(73.578869), '']
['SN2024aeee', 'host', np.float64(55.68311999999984), np.float64(73.578869), '']
['SN2024aeeg', 'host', np.float64(349.178745), np.float64(0.175819), '']
['SN2024aegq', 'host', np.float64(183.01369499999976), np.float64(-57.355175), '']
['SN2024aegq', 'host', np.float64(183.01369499999976), np.float64(-57.355175), '']
['SN2024aegq', 'host', np.float64(183.01369499999976), np.float64(-57.355175), '']
['SN2024aegq', 'host', np.float64(183.01369499999976), np.float64(-57.355175), '']
['SN2024aegq', 'host', np.float64(183.01369499999976), np.float64(-57.355175), '']
['SN2024afav', 'host', np.float64(4.503142499999483), np.float64(-18.10350261), '']
['SN2024afav', 'host', np.float64(4.503142499999483), np.float64(-18.10350261), '']
['SN2024afav', 'host', np.float64(4.503142499999483), np.float64(-18.10350261), '']
['SN2024afyu', 'host', np.float64(276.4408844999998), np.float64(7.62524802), '']
['SN2024afyu', 'host', np.float64(276.4408844999998), np.float64(7.62524802), '']
['SN2024afyu', 'host', np.float64(276.4408844999998), np.float64(7.62524802), '']
['SN2024afyu', 'host', np.float64(276.4408844999998), np.float64(7.62524802), '']
['SN2024agkj', 'host', np.float64(136.40331299999977), np.float64(42.02563795), '']
['SN2024ahr', 'host', np.float64(352.45436999999964), np.float64(-12.506131), '']
['SN2024ahr', 'host', np.float64(352.45436999999964), np.float64(-12.506131), '']
['SN2024ahr', 'host', np.float64(352.45436999999964), np.float64(-12.506131), '']
['SN2024ahr', 'host', np.float64(352.45436999999964), np.float64(-12.506131), '']
['SN2024ahr', 'host', np.float64(352.45436999999964), np.float64(-12.506131), '']
['SN2024ahr', 'host', np.float64(352.45436999999964), np.float64(-12.506131), '']
['SN2024ahr', 'host', np.float64(352.45436999999964), np.float64(-12.506131), '']
['SN2024ahr', 'host', np.float64(352.45436999999964), np.float64(-12.506131), '']
['SN2024ahr', 'host', np.float64(352.45436999999964), np.float64(-12.506131), '']
['SN2024ahv', 'host', np.float64(70.39495649999976), np.float64(7.412436794), '']
['SN2024ahv', 'host', np.float64(70.39495649999976), np.float64(7.412436794), '']
['SN2024aifs', 'host', np.float64(7.598108999999055), np.float64(37.6021149), '']
['SN2024aifs', 'host', np.float64(7.598108999999055), np.float64(37.6021149), '']
['SN2024amf', 'host', np.float64(263.95811999999944), np.float64(-0.13555), '']
['SN2024apt', 'host', np.float64(186.05485349999935), np.float64(-2.210912988), '']
['SN2024axd', 'host', np.float64(45.76312499999985), np.float64(-11.347881), '']
['SN2024bch', 'host', np.float64(171.85874999999936), np.float64(56.927919), '']
['SN2024bch', 'host', np.float64(171.85874999999936), np.float64(56.927919), '']
['SN2024bch', 'host', np.float64(171.85874999999936), np.float64(56.927919), '']
['SN2024bch', 'host', np.float64(171.85874999999936), np.float64(56.927919), '']
['SN2024bch', 'host', np.float64(171.85874999999936), np.float64(56.927919), '']
['SN2024bch', 'host', np.float64(171.85874999999936), np.float64(56.927919), '']
['SN2024bch', 'host', np.float64(171.85874999999936), np.float64(56.927919), '']
['SN2024bko', 'host', np.float64(93.89955749999969), np.float64(38.85103337), '']
['SN2024btj', 'host', np.float64(102.14687999999937), np.float64(56.260581), '']
['SN2024byg', 'host', np.float64(14.614379999999441), np.float64(-4.57355), '']
['SN2024byg', 'host', np.float64(14.614379999999441), np.float64(-4.57355), '']
['SN2024byg', 'host', np.float64(14.614379999999441), np.float64(-4.57355), '']
['SN2024byg', 'host', np.float64(14.614379999999441), np.float64(-4.57355), '']
['SN2024chx', 'host', np.float64(69.28187999999976), np.float64(-18.63635), '']
['SN2024chx', 'host', np.float64(69.28187999999976), np.float64(-18.63635), '']
['SN2024cld', 'host', np.float64(323.8468799999994), np.float64(18.93895), '']
['SN2024cld', 'host', np.float64(323.8468799999994), np.float64(18.93895), '']
['SN2024cld', 'host', np.float64(323.8468799999994), np.float64(18.93895), '']
